"Hide","Vendor","Application","Description","License Type","Unclass","Secret","CWAN","Unit Cost","Initial Maintenance Cost","Subtotal","Discount","Total Cost","Comments"
"","InterCAX","Syndeia","","Floating","","",""," $3,500.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - Windchill Integration","","Floating","","",""," $3,000.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - Creo Integration","","Floating","","",""," $1,500.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - Teamcenter","","Floating","","",""," $3,000.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - NX","","Floating","","",""," $1,500.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - DNG","","Floating","","",""," $2,250.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - MySQL","","Floating","","",""," $1,500.00 ",""," $-   "," $-   "," $-   ",""
"","InterCAX","Syndeia - JIRA","","Floating","","",""," $2,000.00 ",""," $-   "," $-   "," $-   ",""
"","","ISS Slicwave","","","","","","","","","","",""
"","Jfrog","Artifactory Pro","Need to decide version?","Floating","","",""," $2,950.00 ",""," $-   "," $-   "," $-   ",""
"","KDM Analytics","Risk Manager","","Floating","","",""," $60,000.00 ",""," $-   "," $-   "," $-   ",""
"","","MagicDraw","","","","","","","","","","",""
"","Maplesoft","Maple","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","MapleSoft","MapleSim","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","Mathworks","Matlab","","Floating","","",""," $8,600.00 ",""," $-   "," $-   "," $-   ",""
"","Mathworks","Simulink","","Floating","","",""," $13,000.00 ",""," $-   "," $-   "," $-   ",""
"","","Mathcad","","","","","","","","","","",""
"","","MSC","","","","","","","","","","",""
"","No Magic","Cameo EA","Cameo Enterprise Architect","Floating","","",""," $10,122.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo System Modeler","","Floating","","",""," $10,122.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Teamwork Server","","Floating","","",""," $5,079.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","TWC","Teamwork Cloud","Floating","","",""," $5,079.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo Collaborator","","Floating","","",""," $1,869.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","SimToolKit","Cameo Simulation Toolkit","Floating","","",""," $1,998.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo DataHub","","Floating","","",""," $998.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Cameo InterOp","","Floating","","",""," $5,049.00 ",""," $-   "," $-   "," $-   ",""
"","No Magic","Project Merge","","Floating","","",""," $998.00 ",""," $-   "," $-   "," $-   ",""
"","","NX TeamMate","","","","","","","","","","",""
"","","OpenBravo and Frepple Support","","","","","","","","","","",""
"","","OpenBravo","","","","","","","","","","",""
"","","Pentaho Maintenance ","","","","","","","","","","",""
"","Phoenix Integration","ModelCenter Integrate","","Floating","","",""," $43,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","ModelCenter Explore","","Floating","","",""," $43,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","Advanced Reliability Algorithm","","Floating","","",""," $18,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","MBSE Pak - Cameo","","Floating","","",""," $18,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","MBSE Pak - Rhapsody","","Floating","","",""," $18,750.00 ",""," $-   "," $-   "," $-   ",""
"","Phoenix Integration","ModelCenter Cloud","","Floating","","",""," $18,750.00 ",""," $-   "," $-   "," $-   ",""
"","PTC","Arbortext Editor","","Floating ","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Advanced Assembly Extention","","Floating ","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo CABLING","","Floating ","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Engineer II with Advanced Assembly ","","Floating ","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo HARNESS-MFG","","Floating ","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Illustration Standard","","Floating ","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo NC Sheetmetal Option","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo PIPING","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Schematic","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Simulation Advanced ENG","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Simulation Advanced UI","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Creo Simulation Live","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Interface for UG","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Manikin Analysis","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","PTC","Object Ada","","","","","","","","","","",""
"","PTC","Vuforia & Thingworx with Session Plan","","","","","","","","","","",""
"","PTC","Windchill","","Floating","","",""," $-   ",""," $-   "," $-   "," $-   ",""
"","","Raytheon SW","","","","","","","","","","",""
"","","SarahTech SolidEdge","","","","","","","","","","",""
